Fri Jun 27 11:15:46 2003
FISH v1.0
FISH is copyright (c)2003, University of North Carolina at Chapel Hill 
Authors: Sugata Chakravarty and Todd J. Vision

Control File = control.txt

-parameters
	MIN_SCORE = 200
	TOP_HITS = 5

-subgrids
	contig1	contig2	  points	cells
       424          1          1        780       4003        502
       425          1          1        781       1623        215
       426          1          1        783       1874        271
       427          1          1        783       4006        391
       428          1          1        784       4010        390
       429          1          1        784       4024        390
       430          1          1        785       1594        323
       431          1          1        785       2791        597
       432          1          1        785       3673        649
       433          1          1        785       3814        625
       434          1          1        785       4014        477
       435          1          1        785       5304        320
       436          1          1        786       2794        311
       437          1          1        788       1433        333
       438          1          1        788       1550        261
       439          1          1        788       2383        323
       440          1          1        788       5246        262
       441          1          1        789       4015        429
       442          1          1        790       1212        308
       443          1          1        793        813        239
       444          1          1        793       1029        252
       445          1          1        793       1058        253
       446          1          1        793       3634        223
       447          1          1        793       4345        261
       448          1          1        795       4043        283
       449          1          1        796       4042        235
       450          1          1        805       3249        283
       451          1          1        805       5748        321
       452          1          1        808       4025        936
       453          1          1        809       1789        337
       454          1          1        810       4026        311
       455          1          1        813       1029        334
       456          1          1        813       1058        333
       457          1          1        813       1654        211
       458          1          1        813       2629        204
       459          1          1        813       3634        241
       460          1          1        813       4305        327
       461          1          1        813       4326        330
       462          1          1        816       4050        402
       463          1          1        817       4054        271
       464          1          1        818       5086        247
       465          1          1        819       2372        330
       466          1          1        819       5113        252
       467          1          1        820       4056        267
       468          1          1        823       3128        305
       469          1          1        823       4057        876
       470          1          1        823       5578        355
       471          1          1        827       4058        774
       472          1          1        828       3426        264
       473          1          1        829       4891        210
       474          1          1        832       4845        205
       475          1          1        836       2055        229
       476          1          1        836       2144        336
       477          1          1        836       2562        426
       478          1          1        836       3101        630
       479          1          1        836       3227        435
       480          1          1        841       1545        201
       481          1          1        841       3715        230
       482          1          1        841       4076        738
       483          1          1        846       3304        446
       484          1          1        846       4035        446
       485          1          1        848        906        344
       486          1          1        848       3572        384
       487          1          1        848       4794        330
       488          1          1        848       5263        307
       489          1          1        849       4079       1119
       490          1          1        850       3493        701
       491          1          1        853       3440        224
       492          1          1        854       2813        206
       493          1          1        856       4085        253
       494          1          1        858       4084        312
       495          1          1        860       1173        270
       496          1          1        860       4083        410
       497          1          1        862       3448        382
       498          1          1        862       4099        747
       499          1          1        862       4940        723
       500          1          1        863       2074        493
       501          1          1        863       4104        427
       502          1          1        863       4949        348
       503          1          1        865       1630        219
       504          1          1        865       4108        312
       505          1          1        865       5355        215
       506          1          1        872       3414        368
       507          1          1        872       4116        507
       508          1          1        872       4550        293
       509          1          1        873       1239        275
       510          1          1        873       2659        258
       511          1          1        874       4129        211
       512          1          1        875       4132        295
       513          1          1        878       3312        203
       514          1          1        880       1311        227
       515          1          1        880       2023        316
       516          1          1        880       2166        317
       517          1          1        880       2454        254
       518          1          1        880       3351        254
       519          1          1        880       3603        376
       520          1          1        880       3948        286
       521          1          1        880       4824        323
       522          1          1        880       4874        226
       523          1          1        880       4987        623
       524          1          1        881       2018        429
       525          1          1        881       4990        428
       526          1          1        882       3248        270
       527          1          1        882       3997        250
       528          1          1        882       4154        633
       529          1          1        883       4156        220
       530          1          1        885       4172        904
       531          1          1        886       2324        369
       532          1          1        891       4169        936
       533          1          1        892       2003        436
       534          1          1        893       2004        419
       535          1          1        893       3881        468
       536          1          1        893       4995        748
       537          1          1        899       4163        649
       538          1          1        904       4158        497
       539          1          1        905       4175        380
       540          1          1        906       3572        338
       541          1          1        906       4794        288
       542          1          1        906       5263        257
       543          1          1        908       1882        247
       544          1          1        908       4178        703
       545          1          1        908       5612        273
       546          1          1        910       3702        352
       547          1          1        911       2592        258
       548          1          1        911       4180        967
       549          1          1        912       4181        706
       550          1          1        912       5664        526
       551          1          1        913       1234        254
       552          1          1        914       4182        248
       553          1          1        915       4183        353
       554          1          1        916       4235        467
       555          1          1        916       5143        227
       556          1          1        920       3133        237
       557          1          1        922       4189        587
       558          1          1        923       4194        224
       559          1          1        924       4199        347
       560          1          1        925       5582        254
       561          1          1        926       3452        315
       562          1          1        926       4200        369
       563          1          1        929       5720        211
       564          1          1        930       4206        395
       565          1          1        931       4209        654
       566          1          1        932       2648        343
       567          1          1        932       4210        438
       568          1          1        939       4214        558
       569          1          1        940       3444        251
       570          1          1        940       5561        223
       571          1          1        942       4219        570
       572          1          1        942       4571        359
       573          1          1        942       4712        319
       574          1          1        942       5013        437
       575          1          1        943       1128        217
       576          1          1        943       1309        270
       577          1          1        943       1497        306
       578          1          1        943       1575        291
       579          1          1        943       1738        330
       580          1          1        943       2137        297
       581          1          1        943       2388        223
       582          1          1        943       2636        258
       583          1          1        943       3440        294
       584          1          1        943       4441        223
       585          1          1        943       5329        319
       586          1          1        944       4226        791
       587          1          1        947        965        400
       588          1          1        947       1990        215
       589          1          1        947       3156        217
       590          1          1        947       3744        321
       591          1          1        949       4233        761
       592          1          1        962       4242        245
       593          1          1        963       4247        350
       594          1          1        965       1990        239
       595          1          1        965       3156        227
       596          1          1        965       3744        454
       597          1          1        969       4253        636
       598          1          1        971       5807        327
       599          1          1        972       1089        296
       600          1          1        972       1277        220
       601          1          1        972       2000        295
       602          1          1        972       2744        324
       603          1          1        972       3197        303
       604          1          1        972       4254       1011
       605          1          1        972       5048        341
       606          1          1        978       2733        486
       607          1          1        978       2766        459
       608          1          1        978       5618        238
       609          1          1        979       4265        481
       610          1          1        982       2187        303
       611          1          1        982       2536        240
       612          1          1        982       2537        585
       613          1          1        988       4608        422
       614          1          1        989       4689        386
       615          1          1        996       4281        462
       616          1          1        997       1211        310
       617          1          1        997       2505        321
       618          1          1        997       4733        384
       619          1          1       1000       4283        609
       620          1          1       1001       2652        642
       621          1          1       1001       4284        644
       622          1          1       1004       2410        354
       623          1          1       1004       4285        467
       624          1          1       1005       1799        225
       625          1          1       1005       5501        277
       626          1          1       1006       4290        454
       627          1          1       1009       3370        336
       628          1          1       1009       4296        750
       629          1          1       1012       4297        276
       630          1          1       1016       4091        253
       631          1          1       1016       4273        248
       632          1          1       1018       4304        248
       633          1          1       1018       4366        232
       634          1          1       1018       4575        479
       635          1          1       1023       3638        209
       636          1          1       1023       4204        340
       637          1          1       1023       4215        337
       638          1          1       1023       4307        350
       639          1          1       1023       4367        366
       640          1          1       1023       1345        570
       641          1          1       1025       4309        879
       642          1          1       1027       2718        259
       643          1          1       1027       2755        255
       644          1          1       1027       4311        383
       645          1          1       1027       5090        293
       646          1          1       1028       4314        695
       647          1          1       1029       1058       1218
       648          1          1       1029       1654        240
       649          1          1       1029       2629        268
       650          1          1       1029       3634        257
       651          1          1       1029       4305        796
       652          1          1       1029       4326        743
       653          1          1       1029       4345        780
       654          1          1       1029       4385        329
       655          1          1       1029       4424        311
       656          1          1       1029       4466        463
       657          1          1       1029       5327        315
       658          1          1       1030       4322        334
       659          1          1       1033       4328        271
       660          1          1       1037       4327        538
       661          1          1       1040       4854        231
       662          1          1       1040       5541        211
       663          1          1       1044       4333        442
       664          1          1       1052       5802        237
       665          1          1       1053       2219        300
       666          1          1       1053       4336        325
       667          1          1       1053       4899        304
       668          1          1       1054       5185        308
       669          1          1       1055       1615        339
       670          1          1       1055       2921        316
       671          1          1       1055       3379        201
       672          1          1       1055       3478        333
       673          1          1       1055       5341        318
       674          1          1       1055       5453        328
       675          1          1       1057       4341        277
       676          1          1       1058       1654        221
       677          1          1       1058       2629        266
       678          1          1       1058       3634        251
       679          1          1       1058       4305        771
       680          1          1       1058       4326        738
       681          1          1       1058       4345        761
